Adresas,Kaina,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Įrengimas:,Reklama:,Reklama/pasiūlymas:,Namo numeris:,Kambarių sk.:,Vanduo:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Pastato energijos suvartojimo klasė:,Ypatybės:,Papildoma įranga:,Apsauga:,Papildomos patalpos:,Unikalus daikto numeris(RC numeris):
"Klaipėdos r. sav., Trušelių k., Linkoniškių g., mūrinis namas",320 000 €,143 m²,10 a,1,2019,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėda, Trekas, Radviliškio g., mūrinis namas",670 000 €,"227,28 m²",6 a,2,2014,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,12,,Miesto vandentiekis,Upė,500,,Asfaltuotas privažiavimasInternetasKabelinė televizija,KondicionieriusSu baldaisŽidinysIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,GaražasRūbinėTerasa,
"Klaipėdos r. sav., Kiškėnų k., Žalioji g., mūrinis sodo namas",122 000 €,124 m²,8 a,2,"1983 statyba, 2003 renovacija",Mūrinis,Sodo namas,"Aeroterminis, dujinis, kietu kuru, saulės energija",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,10,5,"Šulinys, vietinis vandentiekis",Tvenkinys,20,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacija,GaražasPirtisRūsysŪkiniai pastatai,
"Klaipėdos r. sav., Svencelės k., Nerijos g., mūrinis namas",239 000 €,71 m²,"2,5 a",2,2024,Mūrinis,Namas (gyvenamasis),"Elektra, aeroterminis, saulės energija",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,8,,Vietinis vandentiekis,,400,A+,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektra,KondicionieriusŠildomos grindysRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,Garažas,
"Klaipėda, Plytinė, Serviso g., mūrinis sublokuotas namas",285 000 €,"111,29 m²","3,5 a",2,2023,Mūrinis,Sublokuotas namas,"Elektra, kita",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,35A,4,Miesto vandentiekis,Upė,500,A++,Kraštinis sklypasAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,KondicionieriusŠildomos grindysRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,,
"Klaipėdos r. sav., Trušelių k., Pakalvių g., mūrinis namas",156 000 €,80 m²,"4,8 a",1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,1,4,Miesto vandentiekis,Tvenkinys,400,A++,Kraštinis sklypasAsfaltuotas privažiavimasElektraInternetas,,Aptverta teritorija,Terasa,
"Klaipėdos r. sav., Vėžaičių mstl., Alyvų g., mūrinis sodo namas",110 000 €,80 m²,6 a,1,2023,Mūrinis,Sodo namas,"Elektra, aeroterminis",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,Miesto vandentiekis,Upė,,,Elektra,Šildomos grindysPlastikiniai vamzdžiai,,,
"Klaipėdos r. sav., Gargždų m., J. Basanavičiaus g., mūrinis namas",155 000 €,268 m²,"9,96 a",2,1991,Mūrinis,Namas (gyvenamasis),"Centrinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,7,"Miesto vandentiekis, šulinys",Upė,300,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorija,GaražasPirtisRūbinėRūsysŪkiniai pastataiTerasa,
"Klaipėda, Tauralaukis, Uosių g., mūrinis namas",229 000 €,"268,11 m²","8,5 a",2,"1985 statyba, 2014 renovacija",Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Lelių k., Lelių g., mūrinis namas",220 000 €,230 m²,15 a,1,2017,Mūrinis,Namas (gyvenamasis),"Aeroterminis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,33,,Kita,,,,Asfaltuotas privažiavimasElektraInternetas,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaVaizdo kameros,BaseinasGaražasPirtisTerasa,
"Klaipėdos r. sav., Trušelių k., Ragupės g., Namas (gyvenamasis)",144 000 €,78 m²,"4,68 a",1,2023,Kita,Namas (gyvenamasis),Kita,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Miesto vandentiekis,,,A++,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,KondicionieriusŠildomos grindysRekuperacinė sistema,,Terasa,
"Klaipėdos r. sav., Derceklių k., Gandrų g., mūrinis namas",65 000 €,128 m²,6 a,1,1989,Mūrinis,Namas (gyvenamasis),Kietu kuru,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Pašlūžmio k., medinė sodyba",67 000 €,"76,95 m²",320 a,1,2013,Medinis,Sodyba,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,"Artezinis, šulinys",Tvenkinys,40,C,Elektra,Su baldaisVirtuvės komplektasViryklėŽidinys,Aptverta teritorijaŠarvuotos durys,GaražasRūsysŪkiniai pastataiTerasa,
"Klaipėdos r. sav., Mazūriškių k., Naudvariškių g., mūrinis sublokuotas namas",119 000 €,124 m²,"5,5 a",2,2023,Mūrinis,Sublokuotas namas,"Elektra, aeroterminis, dujinis, saulės energija, kita",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėda, Centras, Kuosų g., mūrinis namas",1 499 999 €,500 m²,10 a,3,"1932 statyba, 2015 renovacija",Mūrinis,Namas (gyvenamasis),"Elektra, kita",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,"Miesto vandentiekis, kita",Jūra,,,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaBudintis sargasSignalizacijaŠarvuotos durysVaizdo kameros,BaseinasGaražasPirtisRūbinėRūsysŪkiniai pastataiTerasa,
"Klaipėda, Tauralaukis, Tauralaukio g., mūrinis sublokuotas namas",230 000 €,115 m²,"4,5 a",2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Rokų k., Rokų g., rąstinė sodyba",99 000 €,40 m²,108 a,1,"1895 statyba, 2000 renovacija",Rąstinis,Sodyba,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,12,3,Miesto vandentiekis,Upė,500,,Kraštinis sklypasGreta miškoElektraInternetas,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,,GaražasŪkiniai pastatai,
"Klaipėdos r. sav., Peskojų k., Vilniaus g., karkasinis namas",83 000 €,80 m²,16 a,1,2019,Karkasinis,Namas (gyvenamasis),Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,Asfaltuotas privažiavimasElektra,,,,
"Klaipėdos r. sav., Trušelių k., Deimenos g., mūrinis namas",320 000 €,"173,78 m²",10 a,1,2016,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,8,4,Vietinis vandentiekis,Tvenkinys,600,A+,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,GaražasRūbinėTerasa,4400-3012-4602
"Klaipėdos r. sav., Radailių k., Žiobrių g., mūrinis sublokuotas namas",169 000 €,115 m²,"4,5 a",2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Lelių k., Gumbinės g., mūrinis namas",150 000 €,92 m²,5 a,1,2021,Mūrinis,Namas (gyvenamasis),"Aeroterminis, saulės energija",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,"Artezinis, vietinis vandentiekis",Upė,200,A+,ElektraInternetasKabelinė televizija,Šildomos grindysŽidinys,Signalizacija,Terasa,
"Klaipėdos r. sav., Šalpėnų k., Šermukšnių g., mūrinis namas",35 000 €,118 m²,31 a,2,1972,Mūrinis,Namas (gyvenamasis),Kietu kuru,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,22,4,"Miesto vandentiekis, šulinys",Upė,50,,Asfaltuotas privažiavimasElektraSu pakrante,,,GaražasRūsysŪkiniai pastatai,
"Klaipėdos r. sav., Jonušų k., Durpyno g., mūrinis namas",338 500 €,204 m²,"13,81 a",2,2011,Mūrinis,Namas (gyvenamasis),"Aeroterminis, saulės energija",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Miesto vandentiekis,,,,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimas,Su baldais,,GaražasTerasa,
"Klaipėdos r. sav., Trušelių k., Deimenos g., blokinis sublokuotas namas",195 000 €,"99,72 m²","6,9 a",2,2017,Blokinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Derceklių k., Draugystės g., mūrinis namas",115 000 €,120 m²,"6,5 a",1,2018,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,2,4,"Artezinis, šulinys",Ežeras,1 000,,Greta miškoAsfaltuotas privažiavimasElektraInternetas,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorija,Ūkiniai pastataiTerasa,
"Klaipėdos r. sav., Šnaukštų k., Agluonos 7-oji g., mūrinis namas",25 000 €,"48,69 m²","6,08 a",2,1992,Mūrinis,Namas (gyvenamasis),Kietu kuru,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,9,2,"Šulinys, vietinis vandentiekis",Tvenkinys,,,Elektra,Plastikiniai vamzdžiai,,RūsysTerasa,
"Klaipėdos r. sav., Mazūriškių k., Juodžemių g., mūrinis sublokuotas namas",129 000 €,192 m²,10 a,2,2007,Mūrinis,Sublokuotas namas,"Elektra, dujinis, kita",Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,36,,,,,,,,,,
"Klaipėdos r. sav., Trušelių k., Smeltaitės g., mūrinis namas",184 000 €,200 m²,20 a,1,2022,Mūrinis,Namas (gyvenamasis),"Elektra, skystu kuru, geoterminis, aeroterminis, dujinis, kietu kuru, saulės energija, kita",Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,46,,Artezinis,,,A++,Asfaltuotas privažiavimasElektraDujos,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,,GaražasTerasa,
"Klaipėdos r. sav., Gindulių k., Svajų g., mūrinis namas",400 000 €,"198,89 m²","12,03 a",2,"2010 statyba, 2022 renovacija",Mūrinis,Namas (gyvenamasis),"Geoterminis, dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,Miesto vandentiekis,,,B,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,BaseinasPirtisRūbinėTerasa,
"Klaipėdos r. sav., Slengių k., Pakrantės g., mūrinis sublokuotas namas",400 000 €,150 m²,104 a,2,2019,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Miesto vandentiekis,,,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasSu pakrante,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,Signalizacija,RūbinėTerasa,
"Klaipėdos r. sav., Gargždų m., Nuošalės g., mūrinis namas",125 500 €,80 m²,6 a,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Kalotės k., Pakalnės g., mūrinis sublokuotas namas",225 000 €,"122,31 m²","0,18 a",3,2021,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Miesto vandentiekis,,,B,Asfaltuotas privažiavimasElektraDujosInternetas,ŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,,GaražasPirtisRūsysTerasa,
"Klaipėdos r. sav., Kalotės k., Kalvų g., mūrinis namas",700 000 €,312 m²,"15,55 a",2,2014,Mūrinis,Namas (gyvenamasis),"Elektra, dujinis",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Budrikų k., Švepelių g., blokinis sublokuotas namas",269 000 €,133 m²,"5,4 a",2,2018,Blokinis,Sublokuotas namas,"Centrinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,21,,,,,B,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,GaražasTerasa,
"Klaipėda, Plytinė, Serviso g., mūrinis namas",370 000 €,219 m²,16 a,2,"1997 statyba, 2009 renovacija",Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,Miesto vandentiekis,Upė,50,,Kraštinis sklypasGreta miškoElektraDujosInternetasKabelinė televizijaSu pakrante,ŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,BaseinasGaražasPirtisRūsysTerasa,
"Klaipėdos r. sav., Žiaukų k., Aušros al., mūrinis namas",125 000 €,80 m²,7 a,1,2023,Mūrinis,Namas (gyvenamasis),"Centrinis, elektra",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,8,,,,,,,,,,
"Klaipėdos r. sav., Slengių k., Martyno Liuterio g., mūrinis sublokuotas namas",99 000 €,80 m²,5 a,1,2022,Mūrinis,Sublokuotas namas,Dujinis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Budrikų k., Švepelių g., blokinis sublokuotas namas",639 000 €,328 m²,"12,65 a",2,"2009 statyba, 2018 renovacija",Blokinis,Sublokuotas namas,"Centrinis, elektra, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,21,6,Vietinis vandentiekis,,,B,Kraštinis sklypasAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,GaražasRūbinėRūsysTerasa,
"Klaipėdos r. sav., Radailių k., Saulės al., blokinis namas",66 000 €,"125,38 m²","8,62 a",2,2021,Blokinis,Namas (gyvenamasis),Kita,Nebaigtas statyti,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,Kita,Tvenkinys,50,A+,Elektra,Rekuperacinė sistema,,RūbinėTerasa,
"Klaipėdos r. sav., Purmalių k., Purmalių g., mūrinis sublokuotas namas",225 000 €,142 m²,4 a,2,2014,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,"Miesto vandentiekis, vietinis vandentiekis",Upė,100,B,Asfaltuotas privažiavimasElektraDujosInternetas,KondicionieriusŠildomos grindysVirtuvės komplektasPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacijaVaizdo kameros,RūbinėTerasa,
"Klaipėdos r. sav., Kalvių k., Hugo Šojaus g., mūrinis namas",185 000 €,100 m²,"13,7 a",1,2022,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Vietinis vandentiekis,Upė,,A+,Kraštinis sklypasGreta miškoElektraInternetas,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiRekuperacinė sistema,,Terasa,
"Klaipėdos r. sav., Radailių k., Vėveriškių g., mūrinis sublokuotas namas",133 000 €,133 m²,"11,2 a",2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,Vietinis vandentiekis,Ežeras,100,A+,Greta miškoAsfaltuotas privažiavimasElektra,,,RūbinėTerasa,
"Klaipėdos r. sav., Budrikų k., Pavasario g., mūrinis namas",106 000 €,80 m²,6 a,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,20,,,,,,,,,,
"Klaipėdos r. sav., Gargždų m., Užmiesčio tak., blokinis namas",130 000 €,127 m²,5 a,2,2013,Blokinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Miesto vandentiekis,Upė,,,,Židinys,Aptverta teritorija,GaražasTerasa,
"Klaipėdos r. sav., Judrėnų mstl., Endriejavo g., medinis namas",30 000 €,82 m²,41 a,1,"1970 statyba, 2023 renovacija",Medinis,Namas (gyvenamasis),Kita,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,12,3,"Miesto vandentiekis, šulinys",,,,Asfaltuotas privažiavimasElektra,Su baldaisVirtuvės komplektasViryklėPlastikiniai vamzdžiai,,Ūkiniai pastatai,
"Klaipėdos r. sav., Žadeikių k., Žvaginių g., skydinis namas",49 500 €,196 m²,23 a,2,1979,Skydinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,26,5,"Miesto vandentiekis, šulinys",,,,Asfaltuotas privažiavimasElektra,Skalbimo mašinaSu baldaisŠaldytuvasViryklė,Aptverta teritorija,GaražasRūsysŪkiniai pastatai,
"Klaipėdos r. sav., Rimkų k., Šiaurinė g., mūrinis namas",145 000 €,100 m²,12 a,1,2023,Mūrinis,Namas (gyvenamasis),Kita,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,3,,,,,,,,,,
"Klaipėdos r. sav., Grikšų k., Grikšų g., mūrinio namo dalis",42 000 €,53 m²,"13,87 a",2,1938,Mūrinis,Namo dalis,Kietu kuru,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,14,3,Šulinys,Upė,800,,Kraštinis sklypasGreta miškoElektra,Su baldais,,GaražasRūsysŪkiniai pastatai,5593-8002-6019
"Klaipėdos r. sav., Derceklių k., Laužų g., mūrinis sodo namas",49 900 €,59 m²,6 a,2,2011,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Mazūriškių k., Stonės g., mūrinis namas",299 000 €,242 m²,13 a,1,2008,Mūrinis,Namas (gyvenamasis),Geoterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,Vietinis vandentiekis,Ežeras,300,,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,GaražasRūbinėTerasa,
"Klaipėdos r. sav., Mazūriškių k., Rasytės g., mūrinis namas",189 999 €,115 m²,"8,5 a",1,2022,Mūrinis,Namas (gyvenamasis),"Elektra, aeroterminis, dujinis, saulės energija",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,28A,,Miesto vandentiekis,,,A+,Asfaltuotas privažiavimasElektraDujosInternetas,,,,
