Adresas,Kaina,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Pastato energijos suvartojimo klasė:,Namo numeris:,Unikalus daikto numeris(RC numeris):
"Vilniaus r. sav., Laurų k., Zamečkavo g., mūrinis namas",1 600 000 €,300 m²,"10,02 a",5,2,2022,Mūrinis,Namas (gyvenamasis),Geoterminis,Vietinis vandentiekis,Dalinė apdaila,Tvenkinys,50,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūbinėRūsysTerasa,KondicionieriusŠildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaVaizdo kameros,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilniaus r. sav., Laurų k., mūrinis namas",1 530 000 €,286 m²,10 a,5,2,2022,Mūrinis,Namas (gyvenamasis),Geoterminis,Vietinis vandentiekis,Dalinė apdaila,Tvenkinys,200,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetas,GaražasRūbinėRūsysTerasa,KondicionieriusŠildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaŠarvuotos durysVaizdo kameros,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilnius, Antakalnis, Skaisterių g., mūrinis sublokuotas namas",205 290 €,"100,88 m²",5 a,5,2,2022,Mūrinis,Sublokuotas namas,Aeroterminis,Artezinis,Dalinė apdaila,Tvenkinys,1,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetas,Terasa,Šildomos grindysRekuperacinė sistema,Aptverta teritorijaVaizdo kameros,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,3,
"Vilnius, Naujoji Vilnia, Šiaurės g., mūrinis namas",93 000 €,60 m²,6 a,2,1,1983,Mūrinis,Namas (gyvenamasis),Kietu kuru,Šulinys,Įrengtas,Tvenkinys,500,ElektraDujosInternetas,PirtisRūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,D,,
"Vilnius, Balsiai, Balsių Sodų 12-oji g., mūrinis namas",285 000 €,"140,06 m²","8,06 a",3,2,"2008 statyba, 2017 renovacija",Mūrinis,Namas (gyvenamasis),"Centrinis kolektorinis, kietu kuru","Artezinis, vietinis vandentiekis",Įrengtas,Ežeras,900,Greta miškoElektraInternetasKabelinė televizija,RūsysŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,B,18,
"Vilniaus r. sav., Senasalio k., Senasalio g., rąstinis namas",29 990 €,"72,05 m²","22,19 a",2,1,1938,Rąstinis,Namas (gyvenamasis),Kietu kuru,"Šulinys, kita",Įrengtas,Tvenkinys,900,Asfaltuotas privažiavimasElektra,RūsysŪkiniai pastatai,Su baldaisŠaldytuvasViryklė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,G,85,
"Vilnius, Balsiai, Namas (gyvenamasis)",186 000 €,105 m²,"11,6 a",4,2,2023,Kita,Namas (gyvenamasis),Centrinis kolektorinis,Artezinis,Dalinė apdaila,Ežeras,1 800,Elektra,Terasa,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilniaus r. sav., Lindiniškių k., Riešės g., mūrinis sublokuotas namas",195 000 €,134 m²,15 a,,1,2024,Mūrinis,Sublokuotas namas,Centrinis kolektorinis,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,74,
"Vilnius, Balsiai, Sakališkių g., mūrinis namas",282 000 €,205 m²,8 a,5,2,"2005 statyba, 2019 renovacija",Mūrinis,Namas (gyvenamasis),"Aeroterminis, dujinis, saulės energija","Artezinis, miesto vandentiekis",Įrengtas,Ežeras,750,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetas,GaražasPirtisTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovė,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Kalnėnai, Keltų g., mūrinis namas",314 000 €,"111,7 m²","2,5 a",4,4,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Ežeras,1 500,ElektraInternetas,RūbinėTerasa,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,10,
"Vilnius, Kalnėnai, Keltų g., mūrinis sublokuotas namas",225 000 €,"116,66 m²","2,47 a",5,2,2022,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,,1 500,ElektraInternetas,RūbinėRūsysTerasa,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,10,
"Vilnius, Pavilnys, Dukelių g., mūrinis sublokuotas namas",295 000 €,"118,04 m²","4,5 a",,2,2020,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Ąžuolinės k., Ąžuolynės 2-oji g., mūrinis namas",230 000 €,160 m²,12 a,5,2,2000,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,ElektraAsfaltuotas privažiavimas,Garažas,Skalbimo mašinaSu baldais,Šarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Bajorai, Paukščių Tako g., mūrinis namas",390 000 €,568 m²,10 a,,2,2005,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Neįrengtas,,,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujos,GaražasRūsysTerasa,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,20,4400-4303-5810
"Vilniaus r. sav., Lindiniškių k., Žalumos g., mūrinis sublokuotas namas",185 000 €,129 m²,5 a,4,2,2023,Mūrinis,Sublokuotas namas,Kita,Artezinis,Dalinė apdaila,,,Kraštinis sklypasGreta miškoElektra,Terasa,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilniaus r. sav., Skaidiškių k., Ateities g., mūrinis sublokuotas namas",139 999 €,"101,5 m²",7 a,4,1,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,,,Elektra,Terasa,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilniaus r. sav., Užubrasčio k., monolitinis namas",200 000 €,200 m²,10 a,,2,2023,Monolitinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Grigaičių k., Jaunimo g., mūrinis namas",145 000 €,167 m²,11 a,,2,"1992 statyba, 2023 renovacija",Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,Rūsys,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,17,
"Vilnius, Pavilnys, mūrinis namas",145 000 €,165 m²,"0,21 a",,2,"1992 statyba, 2023 renovacija",Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,Elektra,RūsysŪkiniai pastatai,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Santariškės, M. Bukšos g., mūrinis namas",319 968 €,"96,22 m²","0,3875 a",4,2,2016,Mūrinis,Namas (gyvenamasis),Geoterminis,Miesto vandentiekis,Įrengtas,,,Kraštinis sklypasGreta miškoElektraInternetas,PirtisRūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Pavilnys, Stasio Matijošaičio g., blokinis sublokuotas namas",239 000 €,70 m²,"0,84 a",3,2,2022,Blokinis,Sublokuotas namas,Dujinis,"Artezinis, vietinis vandentiekis",Įrengtas,,,Greta miškoElektraDujosInternetas,Terasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Signalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,
"Vilniaus r. sav., Didžiosios Riešės k., Vanaginės g., mūrinis namas",430 000 €,"293,85 m²",15 a,6,2,2007,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,Kraštinis sklypasElektraInternetasKabelinė televizijaAsfaltuotas privažiavimas,GaražasTerasa,KondicionieriusSkalbimo mašinaSu baldais,Signalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Grigaičių k., Pergalės g., mūrinis sublokuotas namas",245 000 €,135 m²,6 a,,1,2024,Mūrinis,Sublokuotas namas,Kita,,Įrengtas,,,Kraštinis sklypasAsfaltuotas privažiavimas,GaražasTerasa,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilnius, Trakų Vokė, Žiežmarių g., mūrinis namas",359 000 €,180 m²,7 a,5,1,2024,Mūrinis,Namas (gyvenamasis),Kita,Miesto vandentiekis,Įrengtas,,,Greta miškoAsfaltuotas privažiavimasElektraInternetas,GaražasRūbinėTerasa,KondicionieriusSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,27,4400-6281-4453
"Vilnius, Antakalnis, Anapilio g., monolitinis namas",740 000 €,165 m²,7 a,5,1,2021,Monolitinis,Namas (gyvenamasis),Aeroterminis,,Įrengtas,,,Greta miškoAsfaltuotas privažiavimasElektraInternetas,Terasa,Šildomos grindysRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,7,
"Vilnius, Pilaitė, Zujūnų g., mūrinis sublokuotas namas",212 000 €,64 m²,1 a,3,2,2019,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,,,Asfaltuotas privažiavimasDujosInternetasKabelinė televizija,,ŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A,39,
"Vilnius, Pavilnys, Juodasis kel., mūrinis sublokuotas namas",409 000 €,137 m²,"4,5 a",5,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Artezinis,Įrengtas,,,Asfaltuotas privažiavimas,Terasa,KondicionieriusSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,54,
"Vilniaus r. sav., Grigaičių k., Pergalės g., mūrinis namas",195 000 €,135 m²,6 a,,1,2024,Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Pilaitė, Papiškių g., blokinis namas",230 000 €,"132,5 m²",5 a,,2,2024,Blokinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,21,
"Vilnius, Aukštieji Paneriai, Kudrionių g., mūrinis sublokuotas namas",133 000 €,"91,24 m²","4,5 a",3,1,2023,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,,,ElektraAsfaltuotas privažiavimas,,,Šarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilniaus r. sav., Žudiškių k., Plačioji g., blokinis namas",270 000 €,199 m²,67 a,4,2,2015,Blokinis,Namas (gyvenamasis),Kietu kuru,Vietinis vandentiekis,Įrengtas,Tvenkinys,,Kraštinis sklypasGreta miškoElektra,Garažas,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,68,
"Vilnius, Didieji Gulbinai, Toluvos g., mūrinis namas",358 000 €,184 m²,"7,5 a",6,2,2022,Mūrinis,Namas (gyvenamasis),Geoterminis,Artezinis,Dalinė apdaila,Upė,,Elektra,RūbinėTerasa,Šildomos grindys,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Didžiasalio k., Kolektyvo g., Namas (gyvenamasis)",299 000 €,"126,49 m²","10,82 a",5,1,2023,Kita,Namas (gyvenamasis),"Aeroterminis, saulės energija",Artezinis,Dalinė apdaila,Ežeras,400,Asfaltuotas privažiavimasElektraInternetas,Terasa,Šildomos grindysRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Didieji Gulbinai, Toluvos g., mūrinis namas",468 000 €,240 m²,"9,4 a",5,2,2019,Mūrinis,Namas (gyvenamasis),Geoterminis,Artezinis,Įrengtas,Ežeras,,Greta miškoElektraInternetas,GaražasRūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,
"Vilniaus r. sav., Pakalniškių k., blokinis namas",249 950 €,"105,41 m²",5 a,4,1,2024,Blokinis,Namas (gyvenamasis),"Elektra, aeroterminis","Artezinis, vietinis vandentiekis",Įrengtas,Ežeras,1 000,Kraštinis sklypasAsfaltuotas privažiavimasElektra,Terasa,KondicionieriusŠildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilnius, Trakų Vokė, J. Tiškevičiaus g., karkasinis namas",220 000 €,"121,03 m²","10,73 a",5,2,1980,Karkasinis,Namas (gyvenamasis),Kietu kuru,Miesto vandentiekis,Įrengtas,,,,Rūsys,Židinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,F,8A,
"Vilniaus r. sav., Papiškių k., Vokės 2-oji g., medinis sodo namas",55 000 €,"55,86 m²",6 a,2,1,2016,Medinis,Sodo namas,Elektra,Artezinis,Įrengtas,Upė,,Elektra,Ūkiniai pastataiTerasa,Su baldaisŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,19,
"Vilnius, Dvarčionys, Pupojų Sodų 6-oji g., mūrinis sodo namas",67 500 €,"78,73 m²","7,2 a",,2,1982,Mūrinis,Sodo namas,Kita,Kita,Įrengtas,,,Kraštinis sklypasAsfaltuotas privažiavimasElektra,PirtisRūsys,,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Aukštieji Paneriai, Kazimiero Jokanto g., mūrinis sublokuotas namas",309 000 €,130 m²,"4,5 a",,2,2024,Mūrinis,Sublokuotas namas,"Elektra, geoterminis, aeroterminis, dujinis, saulės energija",,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,2,
"Vilniaus r. sav., Galgių k., Perlų g., mūrinis sublokuotas namas",299 000 €,"177,33 m²",7 a,4,2,2023,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Dalinė apdaila,Tvenkinys,100,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,RūbinėTerasa,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,20,
"Vilniaus r. sav., Bendorių k., Ilgoji g., mūrinis sublokuotas namas",169 000 €,113 m²,"7,5 a",,2,2023,Mūrinis,Sublokuotas namas,"Elektra, geoterminis, aeroterminis, saulės energija",,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,25H,4400-5961-1617:1407
"Vilniaus r. sav., Didžiosios Riešės k., Šiaurinės g., mūrinis sublokuotas namas",258 000 €,"114,89 m²",4 a,,2,2023,Mūrinis,Sublokuotas namas,Elektra,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,13,4400-5859-0799:9743
