Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Pastato energijos suvartojimo klasė:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Unikalus daikto numeris(RC numeris):
"Panevėžys, Centras, S. Kerbedžio g., medinis namas",122 000 €,,120 m²,6 a,7,2,"1963 statyba, 2017 renovacija",Medinis,Namas (gyvenamasis),"Centrinis, kietu kuru","Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimas,GaražasŪkiniai pastatai,Skalbimo mašinaSu baldais,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Stetiškiai, Stetiškių g., medinio namo dalis",46 000 €,22,"50,63 m²","12,84 a",,1,"1963 statyba, 1996 renovacija",Medinis,Namo dalis,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Tičkūnų k., Liepų g., karkasinis sodo namas",13 700 €,,17 m²,6 a,,1,1994,Karkasinis,Sodo namas,Kita,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Raguvos mstl., Kėdainių g., rąstinė sodyba",29 900 €,8,"101,72 m²",65 a,3,1,1925,Rąstinis,Sodyba,Kietu kuru,Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,GaražasŪkiniai pastatai,Su baldais,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,,
"Panevėžio r. sav., Paįstrio k., Pušyno g., Kita (nukeliamas, projektas, kt.)",24 900 €,9,45 m²,6 a,,1,2004,Kita,"Kita (nukeliamas, projektas, kt.)","Centrinis kolektorinis, dujinis",Vietinis vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektra,,Su baldaisVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Senamiesčio g., mūrinis namas",198 000 €,38,"163,68 m²","6,36 a",,2,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Stetiškiai, Stetiškių g., mūrinis namas",90 000 €,,314 m²,"11,58 a",,2,1970,Mūrinis,Namas (gyvenamasis),Kietu kuru,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūsysŪkiniai pastatai,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Puodžiūnų k., Puodžiūnų g., karkasinis namas",15 000 €,13,"68,61 m²",33 a,,1,1967,Karkasinis,Namas (gyvenamasis),"Centrinis, kietu kuru",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Berniūnų k., Leono Valkūno g., mūrinis namas",27 000 €,17,"165,13 m²",15 a,4,1,2021,Mūrinis,Namas (gyvenamasis),Elektra,,Pamatai,Elektra,GaražasTerasa,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,Upė,1 800,
"Panevėžio r. sav., Kaubariškio k., Draugystės al., rąstinis sodo namas",55 000 €,15,51 m²,"7,71 a",2,2,"1983 statyba, 2014 renovacija",Rąstinis,Sodo namas,Kietu kuru,Šulinys,Įrengtas,Kraštinis sklypasGreta miškoElektra,RūsysTerasa,Židinys,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,400,
"Panevėžio r. sav., Kaubariškio k., Bendrijų al., mūrinis namas",93 000 €,1,"199,31 m²","15,26 a",5,2,2018,Mūrinis,Namas (gyvenamasis),Kita,Šulinys,Neįrengtas,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektra,,,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,C,Tvenkinys,300,
"Panevėžio r. sav., Velželio k., Darbininkų g., mūrinis namas",82 000 €,9,"200,59 m²",19 a,,2,1987,Mūrinis,Namas (gyvenamasis),"Centrinis, kietu kuru","Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektraDujos,GaražasPirtisRūsysŪkiniai pastatai,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Berčiūnų k., mūrinis namas",185 000 €,,125 m²,10 a,3,1,2022,Mūrinis,Namas (gyvenamasis),Elektra,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektraSu pakrante,Garažas,Židinys,Signalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,Tvenkinys,,
"Panevėžio r. sav., Bernatonių k., Jazminų al., mūrinis namas",100 000 €,54,111 m²,"6,3 a",4,1,2023,Mūrinis,Namas (gyvenamasis),Kita,Artezinis,Dalinė apdaila,Greta miškoElektra,Garažas,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,800,
"Panevėžio r. sav., Kaubariškio k., karkasinė sodyba",28 000 €,,30 m²,"6,03 a",2,,2023,Karkasinis,Sodyba,Elektra,Šulinys,Įrengtas,ElektraKraštinis sklypasGreta miškoAsfaltuotas privažiavimas,Terasa,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Tiltagalių k., Žalioji g., medinis namas",22 000 €,,105 m²,12 a,,1,1938,Medinis,Namas (gyvenamasis),"Centrinis, kietu kuru",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Užunevėžių k., rąstinė sodyba",46 000 €,,103 m²,300 a,4,,1939,Rąstinis,Sodyba,Kietu kuru,Vietinis vandentiekis,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, Smėlynės g., rąstinė sodyba",106 000 €,,"88,01 m²",87 a,,1,"1966 statyba, 2004 renovacija",Rąstinis,Sodyba,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Pažagienių k., Pažagienių g., mūrinis namas",152 500 €,,142 m²,"14,83 a",,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektra,Terasa,KondicionieriusŠildomos grindysRekuperacinė sistema,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,,4400-5800-8112
"Panevėžio r. sav., Tičkūnų k., Svarainių g., mūrinė sodyba",8 500 €,,600 m²,6 a,2,,1980,Mūrinis,Sodyba,Kietu kuru,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Mitkų k., Pušyno g., medinis sodo namas",10 000 €,6,30 m²,6 a,2,1,1995,Medinis,Sodo namas,"Elektra, kietu kuru",,Įrengtas,ElektraGreta miško,Pirtis,ŽidinysSu baldaisŠaldytuvas,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Fermos k., Rožių g., mūrinis namas",32 000 €,,"180,65 m²",15 a,5,2,1978,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Kauno g., mūrinio namo dalis",135 000 €,39,150 m²,"4,73 a",3,2,2002,Mūrinis,Namo dalis,Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Bernatonių k., Beržų g., karkasinė namo dalis",55 000 €,,143 m²,"7,75 a",,2,1981,Karkasinis,Namo dalis,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Sargėnų k., Pakalniškių g., medinis namas",40 000 €,11,"95,98 m²","0,25 a",4,1,1965,Medinis,Namas (gyvenamasis),"Centrinis, kietu kuru",,Įrengtas,ElektraAsfaltuotas privažiavimas,Ūkiniai pastatai,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,C,,,
"Panevėžio r. sav., Keravos k., Jurginų g., karkasinis sodo namas",15 500 €,6,20 m²,"6,25 a",1,1,2005,Karkasinis,Sodo namas,Kita,Vietinis vandentiekis,Įrengtas,Asfaltuotas privažiavimas,Terasa,,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,100,
"Panevėžys, Rožės, Miško g., mūrinio namo dalis",67 700 €,21,64 m²,"2,43 a",3,2,"1973 statyba, 1992 renovacija",Mūrinis,Namo dalis,Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujos,GaražasRūsys,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Algirdo g., rąstinė namo dalis",58 000 €,47,73 m²,"3,9 a",4,2,1974,Rąstinis,Namo dalis,"Centrinis, dujinis",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujos,Garažas,Skalbimo mašinaVirtuvės komplektasViryklė,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Tulpės, Mindaugo g., rąstinis namas",120 000 €,33,60 m²,11 a,3,1,1950,Rąstinis,Namas (gyvenamasis),"Centrinis, dujinis, kietu kuru","Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektraDujos,GaražasŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,300,
"Panevėžio r. sav., Sodelių k., Pyvesos g., medinė sodyba",36 000 €,,145 m²,26 a,,2,1971,Medinis,Sodyba,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Krekenavos vs., monolitinis namas",48 000 €,,90 m²,87 a,,2,1960,Monolitinis,Namas (gyvenamasis),"Elektra, kietu kuru","Artezinis, šulinys",Įrengtas,Kraštinis sklypasElektraInternetas,GaražasRūsysTerasa,Su baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,SignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Janališkių k., Lazdynų g., karkasinė sodyba",6 900 €,7,12 m²,12 a,1,,1992,Karkasinis,Sodyba,Elektra,Šulinys,Kita,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Bernatonių k., Ievų al., medinis sodo namas",20 500 €,1,"49,94 m²","7,53 a",3,2,1983,Medinis,Sodo namas,Kita,,Dalinė apdaila,ElektraKraštinis sklypasGreta miško,,ŠaldytuvasViryklė,Šarvuotos durysAptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Juodlieknio k., Draugystės g., mūrinis sodo namas",19 000 €,,67 m²,6 a,,2,2010,Mūrinis,Sodo namas,Centrinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Upytės g., rąstinė namo dalis",34 500 €,18,39 m²,"1,4 a",2,1,1958,Rąstinis,Namo dalis,"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujos,RūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, Vijoklių g., mūrinio namo dalis",49 900 €,,"89,25 m²","2,85 a",3,1,1975,Mūrinis,Namo dalis,Kietu kuru,"Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektraDujos,Rūsys,Skalbimo mašinaSu baldaisŠaldytuvasViryklė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, Jazminų g., mūrinis namas",124 000 €,8,213 m²,"6,37 a",,1,1976,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Ramygalos m., Dariaus ir Girėno g., rąstinis namas",8 900 €,29,"93,49 m²","16,53 a",3,1,1940,Rąstinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,Rūsys,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Tičkūnų k., Klevų g., mūrinis sodo namas",12 500 €,15,16 m²,"5,5 a",,1,1974,Mūrinis,Sodo namas,Kietu kuru,,Kita,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,6697-4044-2014
"Panevėžio r. sav., Kaubariškio k., Aguonų al., mūrinė sodyba",24 950 €,18,45 m²,6 a,2,,1985,Mūrinis,Sodyba,Kietu kuru,Šulinys,Įrengtas,ElektraGreta miško,Rūsys,Židinys,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Kaubariškio k., Miško g., medinė sodyba",35 900 €,,"68,46 m²","11,96 a",3,,2011,Medinis,Sodyba,Kietu kuru,Vietinis vandentiekis,Įrengtas,ElektraKraštinis sklypasAsfaltuotas privažiavimas,PirtisRūsys,Židinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Naujikų k., Pakalnės g., mūrinė sodyba",30 000 €,3,6 m²,6 a,4,,1984,Mūrinis,Sodyba,Kietu kuru,Vietinis vandentiekis,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Kaubariškio k., Saulėtekio al., mūrinis sodo namas",20 000 €,22,"54,31 m²",9 a,3,2,1982,Mūrinis,Sodo namas,Kita,,Įrengtas,Greta miškoElektra,RūsysŪkiniai pastatai,Židinys,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Tičkūnų k., medinis sodo namas",8 100 €,,1 m²,"6,4 a",,1,1980,Medinis,Sodo namas,Kita,,Kita,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Naujikų k., Alksnytės g., medinis sodo namas",15 500 €,14,"24,6 m²","5,6 a",,2,1998,Medinis,Sodo namas,Kita,Artezinis,Įrengtas,,,,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,,
"Panevėžio r. sav., Miežiškių mstl., Nevėžio g., mūrinio namo dalis",17 000 €,,"36,14 m²",10 a,2,1,1951,Mūrinis,Namo dalis,Kietu kuru,,Įrengtas,,Ūkiniai pastatai,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Kaubariškio k., Laukymės g., medinė sodyba",11 000 €,9,25 m²,6 a,1,,1996,Medinis,Sodyba,Kita,Šulinys,Kita,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Bernatonių k., Berželių al., medinis sodo namas",10 000 €,,22 m²,6 a,1,1,2014,Medinis,Sodo namas,Kita,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Naujikų k., Svajonių g., mūrinis sodo namas",41 500 €,17,"62,42 m²",5 a,,2,"1981 statyba, 2023 renovacija",Mūrinis,Sodo namas,"Elektra, kietu kuru","Šulinys, vietinis vandentiekis",Įrengtas,Asfaltuotas privažiavimasElektra,Garažas,Su baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Linkės vs., medinis sodo namas",50 000 €,,200 m²,20 a,6,1,1985,Medinis,Sodo namas,"Elektra, saulės energija, kita","Šulinys, vietinis vandentiekis",Dalinė apdaila,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetas,Ūkiniai pastataiTerasa,,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,200,
"Panevėžio r. sav., Plukių k., Eglyno al., medinis sodo namas",11 900 €,30,20 m²,"6,42 a",1,2,1993,Medinis,Sodo namas,Kita,,Įrengtas,ElektraAsfaltuotas privažiavimasGreta miško,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Kaubariškio k., Marių al., karkasinė sodyba",25 000 €,2,50 m²,6 a,2,,1987,Karkasinis,Sodyba,"Dujinis, kita",Šulinys,Įrengtas,ElektraKraštinis sklypasAsfaltuotas privažiavimas,PirtisRūsys,Su baldaisŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, Purienų g., Namas (gyvenamasis)",230 000 €,,149 m²,"6,16 a",,2,"1990 statyba, 2016 renovacija",Kita,Namas (gyvenamasis),"Centrinis, dujinis","Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektraDujos,GaražasPirtisRūsysŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasViryklėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Bernatonių k., Berželių al., medinis sodo namas",17 000 €,1,12 m²,"8,56 a",,2,1985,Medinis,Sodo namas,Kita,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Kniaudiškiai, Kazio Bizausko g., mūrinis namas",115 000 €,26,80 m²,5 a,4,1,2022,Mūrinis,Namas (gyvenamasis),Elektra,,Dalinė apdaila,,,Šildomos grindys,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,,
