Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Reklama:,Artimiausias vandens telkinys:,Pastato energijos suvartojimo klasė:,Reklama/pasiūlymas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Iki vandens telkinio (m):,Unikalus daikto numeris(RC numeris):
"Palanga, Gudobelių g., mūrinis sublokuotas namas",405 000 €,13,"179,7 m²","7,5 a",4,2,2024,Mūrinis,Sublokuotas namas,Elektra,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Elektra,GaražasTerasa,,,800,
"Palanga, Medvalakio g., mūrinis sublokuotas namas",269 000 €,25A,"89,34 m²","1,79 a",4,2,2021,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A+,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektra,Terasa,Su baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorija,,
"Palanga, Palanga, S. Nėries g., mūrinis namas",750 000 €,24,150 m²,6 a,,2,"1957 statyba, 1996 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Vaivorykštės g., mūrinis namas",348 000 €,67A,80 m²,"4,37 a",,1,2021,Mūrinis,Namas (gyvenamasis),"Elektra, dujinis",,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Saulėlydžio g., mūrinis namas",449 000 €,,"509,66 m²","9,5 a",,2,2016,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru, kita",,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Šventoji, Mokyklos g., mūrinis namas",425 000 €,,208 m²,"6,3 a",,2,2015,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Diemedžių tak., karkasinis namas",175 000 €,37,120 m²,"6,4 a",4,2,2012,Karkasinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,C,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,RūbinėŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,,
"Palanga, Palanga, Plytų g., medinis namas",820 000 €,,280 m²,9 a,,2,"1958 statyba, 2015 renovacija",Medinis,Namas (gyvenamasis),"Dujinis, saulės energija",,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Šventoji, Žuvėdrų g., mūrinis sublokuotas namas",199 000 €,,90 m²,"1,1 a",,2,2013,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Palanga, Vakaro g., mūrinis sublokuotas namas",252 284 €,4F,"85,52 m²",5 a,3,1,2024,Mūrinis,Sublokuotas namas,"Elektra, saulės energija",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Elektra,RūbinėTerasa,KondicionieriusŠildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,2 800,4400-5842-0085
"Palanga, Vilimiškės kel., mūrinis namas",220 000 €,95,"91,77 m²","4,95 a",3,2,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasElektra,,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorija,2 000,
"Palanga, Maironio g., mūrinis namas",700 000 €,34,210 m²,"3,6 a",,3,1996,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,ElektraDujosInternetasKabelinė televizija,BaseinasPirtisTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Vaizdo kameros,,
"Palanga, Palanga, Asiūklių g., mūrinis namas",185 000 €,39,64 m²,6 a,3,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A+,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoElektra,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,1 000,
"Palanga, Karvelyno g., mūrinis namas",369 000 €,,125 m²,5 a,4,2,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A+,Saulės elektrinė Jūsų namui ar butui:,ElektraInternetas,Terasa,KondicionieriusŠildomos grindysRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,,
"Palanga, Bartų g., mūrinis namas",550 000 €,14,333 m²,6 a,,2,2008,Mūrinis,Namas (gyvenamasis),"Centrinis, dujinis",,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Austrinio g., mūrinio namo dalis",121 000 €,51,"64,5 m²","4,8 a",,2,2023,Mūrinis,Namo dalis,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A+,Saulės elektrinė Jūsų namui ar butui:,Elektra,,Plastikiniai vamzdžiai,Aptverta teritorija,2 500,
"Palanga, Miško tak., karkasinis namas",120 000 €,,"40,04 m²",1 a,,1,2023,Karkasinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Klaipėdos pl., blokinis namas",900 000 €,,"174,21 m²","5,2 a",4,2,2015,Blokinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasDujosInternetasKabelinė televizija,GaražasTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovė,Aptverta teritorijaSignalizacija,700,
"Palanga, Vytauto g., mūrinis namas",590 000 €,8,176 m²,"4,86 a",,2,2012,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Šaltinio g., mūrinis namas",180 000 €,98,80 m²,10 a,,1,2019,Mūrinis,Namas (gyvenamasis),Geoterminis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Raudžio Kalno g., mūrinis namas",199 900 €,8,"71,75 m²",5 a,4,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A+,Saulės elektrinė Jūsų namui ar butui:,ElektraInternetas,RūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,2 500,
"Palanga, Aušros g., mūrinis sublokuotas namas",275 000 €,35,120 m²,4 a,5,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,A+,Saulės elektrinė Jūsų namui ar butui:,ElektraDujosInternetasKabelinė televizijaAsfaltuotas privažiavimas,Terasa,Su baldais,Šarvuotos durys,,
"Palanga, Sedulų tak., mūrinis namas",290 000 €,37,"191,85 m²","5,72 a",,2,2019,Mūrinis,Namas (gyvenamasis),"Elektra, aeroterminis, kietu kuru, saulės energija",,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Palanga, Vaivorykštės g., mūrinis namas",125 000 €,,38 m²,"1,3 a",3,2,2021,Mūrinis,Namas (gyvenamasis),Kita,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,A++,Saulės elektrinė Jūsų namui ar butui:,,,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,,,
"Palanga, Palanga, mūrinis sublokuotas namas",350 000 €,,110 m²,3 a,4,2,2009,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Šventoji, Audronašų g., blokinis sublokuotas namas",175 990 €,3A,"96,39 m²","2,5 a",3,3,"2008 statyba, 2024 renovacija",Blokinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Greta miškoElektraDujosInternetas,Terasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorija,800,
"Palanga, Palanga, Kunigiškių g., blokinis sublokuotas namas",175 000 €,,"69,4 m²","1,5 a",,2,2023,Blokinis,Sublokuotas namas,"Elektra, dujinis",Miesto vandentiekis,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,A++,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektraDujos,,,Aptverta teritorija,,
"Palanga, Šventoji, Žibų g., rąstinis namas",125 000 €,106,60 m²,0 a,3,2,2015,Rąstinis,Namas (gyvenamasis),Elektra,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Upė,D,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,Terasa,Su baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacijaVaizdo kameros,500,
"Palanga, Šventoji, Kalgraužių g., mūrinis namas",69 000 €,,110 m²,7 a,4,2,2000,Mūrinis,Namas (gyvenamasis),Kietu kuru,Šulinys,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Tvenkinys,C,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetas,GaražasRūsysŪkiniai pastataiTerasa,Su baldaisŠildomos grindysVirtuvės komplektasŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,20,
"Palanga, Palanga, Kunigiškių g., mūrinis sublokuotas namas",225 000 €,,55 m²,"2,2 a",3,2,2018,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,ElektraDujos,,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklė,Aptverta teritorijaSignalizacija,400,
"Palanga, Plytų g., medinis namas",430 000 €,39,200 m²,9 a,,2,1970,Medinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,A,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasAsfaltuotas privažiavimasDujos,,,Aptverta teritorija,,
"Palanga, Monciškės g., mūrinis namas",295 000 €,8B,92 m²,"3,5 a",4,2,2023,Mūrinis,Namas (gyvenamasis),Elektra,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektraInternetas,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,600,
"Palanga, Serbentų 5-asis tak., Kita (nukeliamas, projektas, kt.)",64 000 €,4,60 m²,20 a,,1,"2005 statyba, 2015 renovacija",Kita,"Kita (nukeliamas, projektas, kt.)",Elektra,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Monciškės g., karkasinis kita",190 000 €,55,120 m²,4 a,4,2,2021,Karkasinis,"Kita (nukeliamas, projektas, kt.)",Elektra,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,B,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,RūbinėŪkiniai pastatai,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,SignalizacijaŠarvuotos durys,2 000,4400-5582-3131
"Palanga, Palanga, Vakaro g., mūrinis sublokuotas namas",213 800 €,4G,"85,52 m²",5 a,3,1,2025,Mūrinis,Sublokuotas namas,"Elektra, saulės energija",Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Elektra,Terasa,KondicionieriusŠildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,,
"Palanga, Palanga, Žiogupio g., monolitinis namas",558 800 €,22,254 m²,9 a,10,2,2016,Monolitinis,Namas (gyvenamasis),"Aeroterminis, dujinis, kietu kuru",,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,B,Saulės elektrinė Jūsų namui ar butui:,ElektraDujosKraštinis sklypasGreta miško,TerasaPirtisRūbinėŪkiniai pastataiGaražas,ŽidinysŠildomos grindysSu baldaisPlastikiniai vamzdžiaiKondicionieriusSkalbimo mašinaŠaldytuvasVirtuvės komplektasViryklėIndaplovė,SignalizacijaVaizdo kamerosAptverta teritorija,,
"Palanga, Tremtinių g., mūrinis namas",820 000 €,,"374,86 m²","18,35 a",,2,2008,Mūrinis,Namas (gyvenamasis),Geoterminis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Aido tak., mūrinis namas",255 000 €,38,68 m²,5 a,3,2,2024,Mūrinis,Namas (gyvenamasis),"Elektra, saulės energija",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,,Terasa,,,600,4400-0573-4999
"Palanga, Aido tak., mūrinis sublokuotas namas",169 000 €,,40 m²,2 a,3,1,2021,Mūrinis,Sublokuotas namas,Elektra,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasInternetas,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklė,Aptverta teritorijaSignalizacijaVaizdo kameros,500,
"Palanga, Šventoji, Kalgraužių g., mūrinis sodo namas",135 000 €,,80 m²,6 a,,1,2022,Mūrinis,Sodo namas,Kita,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Gėlių a., mūrinis namas",800 000 €,9,"313,5 m²","6,1 a",,2,1957,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,,,,,500,
"Palanga, Lydekų g., mūrinis sublokuotas namas",199 999 €,,69 m²,"2,5 a",,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,A++,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektra,RūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Šarvuotos durys,,
"Palanga, Paliepgirių kel., mūrinis namas",529 999 €,7B,300 m²,"5,4 a",,2,"1991 statyba, 2020 renovacija",Mūrinis,Namas (gyvenamasis),"Centrinis, dujinis",,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Palanga, Vaivorykštės g., mūrinis namas",370 000 €,,78 m²,6 a,4,1,2017,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasAsfaltuotas privažiavimasDujosInternetas,GaražasRūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,,
"Palanga, Palanga, Eglių g., mūrinis sublokuotas namas",350 000 €,,"69,43 m²","1,74 a",3,2,2022,Mūrinis,Sublokuotas namas,"Aeroterminis, saulės energija",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A+,Saulės elektrinė Jūsų namui ar butui:,Greta miškoAsfaltuotas privažiavimasElektraInternetas,Terasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,600,
